Año Censal,Entidad,Actividad económica,UE Unidades económicas,H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),,,
2023,22 Querétaro,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",7,529,743.999,399.47,,,
2023,22 Querétaro,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,22 Querétaro,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,127,5989,1604.111,949.767,,,
2023,23 Quintana Roo,"Subsector 512 Industria fílmica y del video, e industria del sonido",30,1201,1975.261,1097.846,,,
2023,23 Quintana Roo,Subsector 516 Radio y televisión y provisión de contenido,40,728,163.647,92.971,,,
2023,23 Quintana Roo,Subsector 517 Telecomunicaciones,34,378,297.502,137.606,,,
2023,23 Quintana Roo,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,23 Quintana Roo,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,26,261,80.272,59.866,,,
2023,24 San Luis Potosí,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",13,2800,3477.349,1659.056,,,
2023,24 San Luis Potosí,"Subsector 512 Industria fílmica y del video, e industria del sonido",26,572,1012.739,571.027,,,
2023,24 San Luis Potosí,Subsector 516 Radio y televisión y provisión de contenido,46,835,329.792,152.156,,,
2023,24 San Luis Potosí,Subsector 517 Telecomunicaciones,91,589,528.725,307.012,,,
2023,24 San Luis Potosí,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",3,,,,,,
2023,24 San Luis Potosí,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
2023,24 San Luis Potosí,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,44,349,237.26,134.734,,,
2023,25 Sinaloa,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",5,363,125.605,59.286,,,
2023,25 Sinaloa,"Subsector 512 Industria fílmica y del video, e industria del sonido",49,898,1275.968,658.709,,,
2023,25 Sinaloa,Rama 5132 Edición de software,1,,,,,,
2023,25 Sinaloa,Subsector 516 Radio y televisión y provisión de contenido,54,1561,361.349,177.332,,,
2023,25 Sinaloa,Subsector 517 Telecomunicaciones,48,396,154.737,95.579,,,
2023,25 Sinaloa,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,25 Sinaloa,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,1,,,,,,
2023,25 Sinaloa,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,77,945,397.093,273.04,,,
2023,26 Sonora,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",78,33607,20965.218,15241.676,,,
2023,26 Sonora,"Subsector 512 Industria fílmica y del video, e industria del sonido",33,735,1222.55,622.542,,,
2023,26 Sonora,Rama 5132 Edición de software,4,83,76.612,43.49,,,
2023,26 Sonora,Subsector 516 Radio y televisión y provisión de contenido,72,1111,406.041,278.713,,,
2023,26 Sonora,Subsector 517 Telecomunicaciones,44,542,469.845,161.055,,,
2023,26 Sonora,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",5,482,110.545,103.261,,,
2023,26 Sonora,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
2023,26 Sonora,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,88,1511,836.271,578.842,,,
2023,27 Tabasco,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",2,,,,,,
2023,27 Tabasco,"Subsector 512 Industria fílmica y del video, e industria del sonido",23,536,934.372,465.455,,,
2023,27 Tabasco,Subsector 516 Radio y televisión y provisión de contenido,30,418,106.888,67.448,,,
2023,27 Tabasco,Subsector 517 Telecomunicaciones,87,554,201.625,106.276,,,
2023,27 Tabasco,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,19,116,26.34,20.778,,,
2023,28 Tamaulipas,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",65,57347,30778.279,23196.936,,,
2023,28 Tamaulipas,"Subsector 512 Industria fílmica y del video, e industria del sonido",30,935,1793.565,861.771,,,
2023,28 Tamaulipas,Subsector 516 Radio y televisión y provisión de contenido,65,1779,1071.002,537.525,,,
2023,28 Tamaulipas,Subsector 517 Telecomunicaciones,62,2760,1483.483,987.506,,,
2023,28 Tamaulipas,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",1,,,,,,
2023,28 Tamaulipas,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
2023,28 Tamaulipas,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,41,579,259.573,201.506,,,
2023,29 Tlaxcala,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",5,879,1131.238,535.609,,,
2023,29 Tlaxcala,"Subsector 512 Industria fílmica y del video, e industria del sonido",12,169,250.808,125.367,,,
2023,29 Tlaxcala,Subsector 516 Radio y televisión y provisión de contenido,16,130,23.67,14.927,,,
2023,29 Tlaxcala,Subsector 517 Telecomunicaciones,42,271,45.941,30.375,,,
2023,29 Tlaxcala,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",3,,,,,,
2023,29 Tlaxcala,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,4,13,1.016,0.584,,,
2023,29 Tlaxcala,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,21,327,90.328,52.185,,,
2023,30 Veracruz de Ignacio de la Llave,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",4,26,9.601,3.045,,,
2023,30 Veracruz de Ignacio de la Llave,"Subsector 512 Industria fílmica y del video, e industria del sonido",61,1313,2286.818,1140.647,,,
2023,30 Veracruz de Ignacio de la Llave,Rama 5132 Edición de software,2,,,,,,
2023,30 Veracruz de Ignacio de la Llave,Subsector 516 Radio y televisión y provisión de contenido,108,1297,598.654,309.4,,,
2023,30 Veracruz de Ignacio de la Llave,Subsector 517 Telecomunicaciones,191,1197,575.032,281.469,,,
2023,30 Veracruz de Ignacio de la Llave,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,30 Veracruz de Ignacio de la Llave,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,3,,,,,,
